No;Tanggal;Keterangan;Jumlah;Satuan;Harga;Total Harga
1;06/01/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp340,000 ; Rp10,880,000 
2;16/01/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp340,000 ; Rp10,880,000 
3;03/02/2023;Premi Tb. aizu 01 / Bg. Zidni 05;2400;Liter; Rp12,000 ; Rp28,800,000 
4;03/03/2023;BBM Tb. aizu 01 / Bg. Zidni 05;23;Teng; Rp425,000 ; Rp9,775,000 
5;03/03/2023;BBM Tb. aizu 01 / Bg. Zidni 05;2;Teng; Rp400,000 ; Rp800,000 
6;13/03/2023;BBM Tb. aizu 01 / Bg. Zidni 05;20;Teng; Rp410,000 ; Rp8,200,000 
7;26/03/2023;BBM Tb. aizu 01 / Bg. Zidni 05;20;Teng; Rp380,000 ; Rp7,600,000 
8;11/04/2023;BBM Tb. aizu 01 / Bg. Zidni 05;20;Teng; Rp375,000 ; Rp7,500,000 
9;18/04/2023;BBM Tb. aizu 01 / Bg. Zidni 05;28;Teng; Rp350,000 ; Rp9,800,000 
10;30/04/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp350,000 ; Rp11,200,000 
11;13/05/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp345,000 ; Rp11,040,000 
12;24/05/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp345,000 ; Rp11,040,000 
13;06/06/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp340,000 ; Rp10,880,000 
14;16/06/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp340,000 ; Rp10,880,000 
15;08/07/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp340,000 ; Rp10,880,000 
16;25/07/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp340,000 ; Rp10,880,000 
17;16/08/2023;BBM Tb. aizu 01 / Bg. Zidni 05;33;Teng; Rp350,000 ; Rp11,550,000 
18;25/08/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp380,000 ; Rp12,160,000 
19;05/09/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp380,000 ; Rp12,160,000 
20;24/09/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp450,000 ; Rp14,400,000 
21;09/10/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp450,000 ; Rp14,400,000 
22;20/10/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp450,000 ; Rp14,400,000 
23;29/10/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp450,000 ; Rp14,400,000 
24;16/11/2023;BBM Tb. aizu 01 / Bg. Zidni 05;36;Teng; Rp450,000 ; Rp16,200,000 
25;26/11/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp450,000 ; Rp14,400,000 
26;13/12/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp445,000 ; Rp14,240,000 
27;27/12/2023;BBM Tb. aizu 01 / Bg. Zidni 05;32;Teng; Rp440,000 ; Rp14,080,000 
1;01/01/2023;Premi Tb. aizu 01 / Bg. Zidni 05;2400;Liter; Rp12,000 ; Rp28,800,000 
2;01/01/2023;Premi Tb. aizu 03 / Bg. Zidni 01;2000;Liter; Rp12,000 ; Rp24,000,000 
3;01/01/2023;Premi TB. Aizu 05 / Bg. Zidni 03;2800;Liter; Rp12,000 ; Rp33,600,000 
4;01/01/2023;Premi TB. Aizu 07 / Bg. Zidni 06;2800;Liter; Rp12,000 ; Rp33,600,000 
5;01/02/2023;Premi Tb. aizu 01 / Bg. Zidni 05;2400;Liter; Rp12,000 ; Rp28,800,000 
6;01/02/2023;Premi Tb. aizu 03 / Bg. Zidni 01;2000;Liter; Rp12,000 ; Rp24,000,000 
7;01/02/2023;Premi TB. Aizu 05 / Bg. Zidni 03;2800;Liter; Rp12,000 ; Rp33,600,000 
8;01/02/2023;Premi TB. Aizu 07 / Bg. Zidni 06;2800;Liter; Rp12,000 ; Rp33,600,000 
9;01/03/2023;Premi Tb. aizu 03 / Bg. Zidni 01;2000;Liter; Rp12,000 ; Rp24,000,000 
10;01/03/2023;Premi TB. Aizu 05 / Bg. Zidni 03;2800;Liter; Rp12,000 ; Rp33,600,000 
11;01/03/2023;Premi TB. Aizu 07 / Bg. Zidni 06;2800;Liter; Rp12,000 ; Rp33,600,000 
12;01/03/2023;BBM Tb. aizu 03 / Bg. Zidni 01;27;Teng; Rp425,000 ; Rp11,475,000 
13;01/03/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp405,000 ; Rp14,580,000 
14;13/03/2023;BBM TB. Aizu 05 / Bg. Zidni 03;16;Teng; Rp415,000 ; Rp6,640,000 
15;13/03/2023;BBM TB. Aizu 05 / Bg. Zidni 03;10;Teng; Rp410,000 ; Rp4,100,000 
16;13/03/2023;BBM TB. Aizu 05 / Bg. Zidni 03;40;Teng; Rp395,000 ; Rp15,800,000 
17;09/03/2023;BBM TB. Aizu 07 / Bg. Zidni 06;50;Teng; Rp420,000 ; Rp21,000,000 
18;05/04/2023;BBM Tb. aizu 03 / Bg. Zidni 01;27;Teng; Rp375,000 ; Rp10,125,000 
19;13/04/2023;BBM Tb. aizu 03 / Bg. Zidni 01;40;Teng; Rp375,000 ; Rp15,000,000 
20;24/04/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp350,000 ; Rp12,600,000 
21;20/04/2023;BBM TB. Aizu 05 / Bg. Zidni 03;55;Teng; Rp350,000 ; Rp19,250,000 
22;04/04/2023;BBM TB. Aizu 07 / Bg. Zidni 06;30;Teng; Rp375,000 ; Rp11,250,000 
23;16/04/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp375,000 ; Rp15,000,000 
24;28/04/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp350,000 ; Rp14,000,000 
25;07/05/2023;BBM Tb. aizu 02 /;5;Teng; Rp350,000 ; Rp1,750,000 
26;17/05/2023;BBM Tb. aizu 02 /;6;Teng; Rp345,000 ; Rp2,070,000 
27;07/05/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp350,000 ; Rp12,600,000 
28;17/05/2023;BBM Tb. aizu 03 / Bg. Zidni 01;37;Teng; Rp345,000 ; Rp12,765,000 
29;27/05/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp345,000 ; Rp12,420,000 
30;03/05/2023;BBM TB. Aizu 05 / Bg. Zidni 03;40;Teng; Rp350,000 ; Rp14,000,000 
31;17/05/2023;BBM TB. Aizu 05 / Bg. Zidni 03;20;Teng; Rp345,000 ; Rp6,900,000 
32;20/05/2023;BBM TB. Aizu 05 / Bg. Zidni 03;30;Teng; Rp345,000 ; Rp10,350,000 
33;30/05/2023;BBM TB. Aizu 05 / Bg. Zidni 03;40;Teng; Rp345,000 ; Rp13,800,000 
34;20/05/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp345,000 ; Rp13,800,000 
35;07/06/2023;BBM Tb. aizu 02 /;9;Teng; Rp340,000 ; Rp3,060,000 
36;07/06/2023;BBM Tb. aizu 03 / Bg. Zidni 01;10;Teng; Rp13,000 ; Rp130,000 
37;07/06/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp340,000 ; Rp12,240,000 
38;19/06/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp340,000 ; Rp12,240,000 
39;09/06/2023;BBM TB. Aizu 05 / Bg. Zidni 03;40;Teng; Rp340,000 ; Rp13,600,000 
40;19/06/2023;BBM TB. Aizu 05 / Bg. Zidni 03;40;Teng; Rp340,000 ; Rp13,600,000 
41;09/06/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp340,000 ; Rp13,600,000 
42;21/06/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp340,000 ; Rp13,600,000 
43;01/07/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp340,000 ; Rp12,240,000 
44;17/07/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp340,000 ; Rp12,240,000 
45;27/07/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp345,000 ; Rp12,420,000 
46;06/07/2023;BBM TB. Aizu 05 / Bg. Zidni 03;50;Teng; Rp340,000 ; Rp17,000,000 
47;17/07/2023;BBM TB. Aizu 05 / Bg. Zidni 03;50;Teng; Rp340,000 ; Rp17,000,000 
48;30/07/2023;BBM TB. Aizu 05 / Bg. Zidni 03;50;Teng; Rp340,000 ; Rp17,000,000 
49;02/07/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp340,000 ; Rp13,600,000 
50;26/07/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp340,000 ; Rp13,600,000 
51;05/08/2023;BBM Tb. aizu 02 ;10;Teng; Rp345,000 ; Rp3,450,000 
52;28/08/2023;BBM Tb. aizu 02 ;10;Teng; Rp380,000 ; Rp3,800,000 
53;05/08/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp345,000 ; Rp12,420,000 
54;17/08/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp350,000 ; Rp12,600,000 
55;14/08/2023;BBM TB. Aizu 05 / Bg. Zidni 03;30;Teng; Rp345,000 ; Rp10,350,000 
56;21/08/2023;BBM TB. Aizu 05 / Bg. Zidni 03;30;Teng; Rp345,000 ; Rp10,350,000 
57;29/08/2023;BBM TB. Aizu 05 / Bg. Zidni 03;10;Teng; Rp380,000 ; Rp3,800,000 
58;31/08/2023;BBM TB. Aizu 05 / Bg. Zidni 03;20;Teng; Rp385,000 ; Rp7,700,000 
59;07/08/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp345,000 ; Rp13,800,000 
60;18/08/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp350,000 ; Rp14,000,000 
61;28/08/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp380,000 ; Rp15,200,000 
62;24/09/2023;BBM Tb. aizu 02 ;7;Teng; Rp400,000 ; Rp2,800,000 
63;10/09/2023;BBM Tb. aizu 03 / Bg. Zidni 01;12;Teng; Rp19,000 ; Rp228,000 
64;12/09/2023;BBM Tb. aizu 03 / Bg. Zidni 01;38;Teng; Rp385,000 ; Rp14,630,000 
65;21/09/2023;BBM Tb. aizu 03 / Bg. Zidni 01;630;Teng; Rp14,000 ; Rp8,820,000 
66;28/09/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp450,000 ; Rp16,200,000 
67;16/09/2023;BBM TB. Aizu 05 / Bg. Zidni 03;20;Teng; Rp400,000 ; Rp8,000,000 
68;18/09/2023;BBM TB. Aizu 05 / Bg. Zidni 03;5;Teng; Rp2,800,000 ; Rp14,000,000 
69;18/09/2023;BBM TB. Aizu 05 / Bg. Zidni 03;50;Teng; Rp14,000 ; Rp700,000 
70;27/09/2023;BBM TB. Aizu 05 / Bg. Zidni 03;30;Teng; Rp450,000 ; Rp13,500,000 
71;09/09/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp385,000 ; Rp15,400,000 
72;22/09/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp450,000 ; Rp18,000,000 
73;15/10/2023;BBM Tb. aizu 02 ;4;Teng; Rp400,000 ; Rp1,600,000 
74;18/10/2023;BBM Tb. aizu 02 ;4;Teng; Rp400,000 ; Rp1,600,000 
75;10/10/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp450,000 ; Rp16,200,000 
76;20/10/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp450,000 ; Rp16,200,000 
77;29/10/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp450,000 ; Rp16,200,000 
78;03/10/2023;BBM TB. Aizu 05 / Bg. Zidni 03;1000;Teng; Rp12,250 ; Rp12,250,000 
79;14/10/2023;BBM TB. Aizu 05 / Bg. Zidni 03;40;Teng; Rp445,000 ; Rp17,800,000 
80;14/10/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp450,000 ; Rp18,000,000 
81;24/10/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp450,000 ; Rp18,000,000 
82;09/11/2023;BBM Tb. aizu 02 ;10;Teng; Rp450,000 ; Rp4,500,000 
83;17/11/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp450,000 ; Rp16,200,000 
84;28/11/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp450,000 ; Rp16,200,000 
85;01/11/2023;BBM TB. Aizu 05 / Bg. Zidni 03;50;Teng; Rp445,000 ; Rp22,250,000 
86;12/11/2023;BBM TB. Aizu 05 / Bg. Zidni 03;50;Teng; Rp445,000 ; Rp22,250,000 
87;27/11/2023;BBM TB. Aizu 05 / Bg. Zidni 03;50;Teng; Rp445,000 ; Rp22,250,000 
88;01/11/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp450,000 ; Rp18,000,000 
89;16/11/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp450,000 ; Rp18,000,000 
90;26/11/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp450,000 ; Rp18,000,000 
91;10/12/2023;BBM Tb. aizu 02 ;10;Teng; Rp445,000 ; Rp4,450,000 
92;10/12/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp445,000 ; Rp16,020,000 
93;25/12/2023;BBM Tb. aizu 03 / Bg. Zidni 01;36;Teng; Rp440,000 ; Rp15,840,000 
94;12/12/2023;BBM TB. Aizu 05 / Bg. Zidni 03;50;Teng; Rp445,000 ; Rp22,250,000 
95;31/12/2023;BBM TB. Aizu 05 / Bg. Zidni 03;70;Teng; Rp440,000 ; Rp30,800,000 
96;10/12/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp445,000 ; Rp17,800,000 
97;21/12/2023;BBM TB. Aizu 07 / Bg. Zidni 06;40;Teng; Rp445,000 ; Rp17,800,000 
